Period,Gross_Exports,Gross_Imports,Total_Trade,Trade_Balance
1/1/1993,"8,364","7,956","16,320",408
2/1/1993,"8,656","8,131","16,787",526
3/1/1993,"9,727","8,942","18,670",785
4/1/1993,"10,605","10,506","21,111",99
5/1/1993,"9,974","9,513","19,488",461
6/1/1993,"9,866","9,591","19,457",274
7/1/1993,"11,130","10,254","21,383",876
8/1/1993,"10,086","9,533","19,619",553
9/1/1993,"11,144","10,395","21,539",750
10/1/1993,"10,656","11,496","22,152",-841
11/1/1993,"10,042","10,518","20,560",-476
12/1/1993,"10,987","10,570","21,557",417
1/1/1994,"10,876","10,621","21,497",255
2/1/1994,"9,984","10,828","20,813",-844
3/1/1994,"12,119","12,151","24,271",-32
4/1/1994,"12,596","13,133","25,729",-537
5/1/1994,"12,136","11,919","24,055",216
6/1/1994,"12,806","12,586","25,392",220
7/1/1994,"13,313","13,066","26,379",248
8/1/1994,"13,592","14,200","27,792",-608
9/1/1994,"13,762","14,227","27,989",-465
10/1/1994,"14,335","14,087","28,422",247
11/1/1994,"13,847","13,816","27,663",31
12/1/1994,"14,555","15,287","29,842",-732
1/1/1995,"13,609","13,489","27,098",119
2/1/1995,"12,935","13,506","26,440",-571
3/1/1995,"13,933","15,328","29,260","-1,395"
4/1/1995,"14,937","15,232","30,168",-295
5/1/1995,"14,694","16,027","30,720","-1,333"
6/1/1995,"15,636","17,740","33,376","-2,104"
7/1/1995,"15,531","16,826","32,357","-1,295"
8/1/1995,"16,372","17,549","33,922","-1,177"
9/1/1995,"16,912","17,196","34,108",-285
10/1/1995,"15,904","17,525","33,429","-1,621"
11/1/1995,"17,021","17,060","34,080",-39
12/1/1995,"17,505","16,867","34,372",637
1/1/1996,"16,140","17,266","33,406","-1,125"
2/1/1996,"13,049","13,742","26,791",-692
3/1/1996,"18,213","17,651","35,864",562
4/1/1996,"15,965","16,221","32,186",-256
5/1/1996,"16,964","16,727","33,692",237
6/1/1996,"16,225","15,639","31,864",587
7/1/1996,"15,890","16,507","32,398",-617
8/1/1996,"17,242","16,613","33,855",629
9/1/1996,"16,572","15,919","32,491",653
10/1/1996,"16,952","17,719","34,670",-767
11/1/1996,"16,522","17,026","33,548",-504
12/1/1996,"17,291","16,250","33,541","1,040"
1/1/1997,"16,841","16,854","33,695",-13
2/1/1997,"13,565","13,152","26,717",413
3/1/1997,"18,682","16,919","35,601","1,763"
4/1/1997,"15,572","17,754","33,327","-2,182"
5/1/1997,"17,181","17,093","34,274",87
6/1/1997,"16,458","19,338","35,796","-2,881"
7/1/1997,"17,078","18,007","35,085",-929
8/1/1997,"19,372","18,294","37,667","1,078"
9/1/1997,"20,087","18,956","39,043","1,131"
10/1/1997,"21,547","21,698","43,246",-151
11/1/1997,"21,569","20,891","42,460",678
12/1/1997,"22,939","21,978","44,916",961
1/1/1998,"22,546","20,033","42,579","2,513"
2/1/1998,"22,392","19,820","42,211","2,572"
3/1/1998,"24,236","20,270","44,507","3,966"
4/1/1998,"22,304","18,888","41,192","3,416"
5/1/1998,"22,350","18,595","40,946","3,755"
6/1/1998,"23,494","17,397","40,891","6,097"
7/1/1998,"23,924","19,979","43,904","3,945"
8/1/1998,"24,325","18,112","42,437","6,212"
9/1/1998,"25,046","18,864","43,909","6,182"
10/1/1998,"25,474","18,843","44,317","6,632"
11/1/1998,"24,598","18,172","42,769","6,426"
